,Team,FR TD,SFTY,INT TD
0,Cowboys  Cowboys,3,0,0
1,Browns  Browns,2,0,1
2,Jaguars  Jaguars,2,0,2
3,Raiders  Raiders,2,0,1
4,Dolphins  Dolphins,2,1,0
5,Patriots  Patriots,2,0,5
6,Cardinals  Cardinals,2,0,3
7,Panthers  Panthers,1,0,2
8,Bengals  Bengals,1,0,0
9,Vikings  Vikings,1,0,0
10,Giants  Giants,1,0,1
11,49ers  49ers,1,0,2
12,Commanders  Commanders,1,1,2
13,Falcons  Falcons,0,1,1
14,Ravens  Ravens,0,0,0
15,Bills  Bills,0,2,1
16,Bears  Bears,0,0,0
17,Broncos  Broncos,0,1,0
18,Lions  Lions,0,1,1
19,Packers  Packers,0,1,2
20,Titans  Titans,0,0,1
21,Texans  Texans,0,1,1
22,Colts  Colts,0,0,2
23,Chiefs  Chiefs,0,1,2
24,Rams  Rams,0,0,1
25,Saints  Saints,0,0,1
26,Jets  Jets,0,2,0
27,Eagles  Eagles,0,0,2
28,Steelers  Steelers,0,0,1
29,Chargers  Chargers,0,1,1
30,Seahawks  Seahawks,0,0,1
31,Buccaneers  Buccaneers,0,0,1
